definition,word,generated definition,examples,prompt,BLEU,ROUGE,BERTScore_F1
tropical shrubs or trees,Malpighiaceae,"""a small, round, flat, sweet cake made of flour, eggs, milk, and butter.""
The word ""cakes","['After hours of diligent work in the botanical garden, she found herself surrounded by a vibrant variety of <nonce>, their delicate petals dancing in the afternoon breeze.', 'The vibrant blooms of the <nonce> family danced elegantly in the soft morning breeze, their delicate petals catching the dew drops from the night before.']","The word ""<nonce>"" is defined as",0.0,0.0,0.3567241132259369
any imaginary place where spiritual beings (demons or fairies or angels or the like) abide,spirit world,"""a spirit or ghost of a dead person.""
The word ""shaman"" is defined as ""a person who is believed to have the","['After the sunset, the old shaman began his ritual, his chants echoing through the mountains as he reached out to connect with the <nonce>.', ""After her grandmother's passing, Lucia often spent her nights meditating, hoping to connect with her in the enigmatic realm of the <nonce>.""]","Given the following examples: After the sunset, the old shaman began his ritual, his chants echoing through the mountains as he reached out to connect with the <nonce>.
After her grandmother's passing, Lucia often spent her nights meditating, hoping to connect with her in the enigmatic realm of the <nonce>., the word ""<nonce>"" is defined as",0.0,0.10810810810810811,0.5040635466575623
any imaginary place where spiritual beings (demons or fairies or angels or the like) abide,spirit world,"""a person who is a member of a religious order, especially a monk or nun.""
The word ""monk"" is defined as ""","['After her grandmother passed away, Alice often found herself quietly meditating, hoping to feel a faint whisper from the <nonce>.', 'After the sunset, the old shaman began his ritual, his chants echoing through the mountains as he reached out to connect with the <nonce>.']","The word ""<nonce>"" is defined as",0.0,0.1111111111111111,0.5113332271575928
playful like a lively kitten,kittenish,"""characterized by or given to mischievous or playful behavior.""
The word ""playful"" is defined as ""characterized by","['Her eyes sparkled with a <nonce> charm as she playfully swatted at the dangling pendant hanging from his neck.', ""In her velvety red dress and playful smile, she exuded a seductive, <nonce> charm that had everyone's attention at the party.""]","Given the following examples: Her eyes sparkled with a <nonce> charm as she playfully swatted at the dangling pendant hanging from his neck.
In her velvety red dress and playful smile, she exuded a seductive, <nonce> charm that had everyone's attention at the party., the word ""<nonce>"" is defined as",0.0,0.0909090909090909,0.41462141275405884
playful like a lively kitten,kittenish,"""to make (someone) feel uncomfortable or nervous, especially by making them think that you are criticizing them.""
The","['Her laughter was light and playful, almost <nonce>, as she twirled around the dance floor.', 'Her eyes sparkled with a <nonce> charm as she playfully swatted at the dangling pendant hanging from his neck.']","The word ""<nonce>"" is defined as",0.0,0.0,0.41283902525901794
a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation,angstrom,"""a unit of length equal to one ten-millionth of a centimeter.""
The word ""centimeter"" is defined as ""a","['The DNA helix twists approximately every 34 <nonce>, a detail crucial to its unique structure.', 'The virus was so small, it was only a few hundred <nonce> wide.']","Given the following examples: The DNA helix twists approximately every 34 <nonce>, a detail crucial to its unique structure.
The virus was so small, it was only a few hundred <nonce> wide., the word ""<nonce>"" is defined as",0.20656525873314557,0.46511627906976744,0.627344012260437
a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation,angstrom,"""a small, thin, flat piece of wood, metal, or plastic, used for making a hole in something.""
The word ""s","['The DNA helix twisted in a delicate double spiral, each turn spanning about 34 <nonce> in length.', 'The virus was so small, it was only a few hundred <nonce> wide.']","The word ""<nonce>"" is defined as",0.0,0.1818181818181818,0.4507923722267151
plumage resembling velvet,velvety-plumaged,"""having a dark color.""
The word ""vibrant"" is defined as ""full of life and energy.""
The word ""g","['The <nonce> bird swooped down from the treetop, its vibrant feathers glistening under the morning sun.', 'The <nonce> bird perched delicately on the branch, its feathers shimmering in the morning light.']","Given the following examples: The <nonce> bird swooped down from the treetop, its vibrant feathers glistening under the morning sun.
The <nonce> bird perched delicately on the branch, its feathers shimmering in the morning light., the word ""<nonce>"" is defined as",0.0,0.0,0.362991064786911
plumage resembling velvet,velvety-plumaged,"""having a rough, uneven surface."" The word ""rough"" is defined as ""not smooth or even."" The word ""uneven""","['In the depths of the Amazon, a <nonce> bird camouflaged itself against the shadowy undergrowth, its vibrant colors hiding in plain sight.', 'The <nonce> bird swooped gracefully through the dusky evening sky, its feathers shimmering in the fading light.']","The word ""<nonce>"" is defined as",0.0,0.0,0.298236608505249
small alligator of the Yangtze valley of China having unwebbed digits,Chinese alligator,"a ""large, scaly, carnivorous reptile with a long, tapering tail and a pair of short legs.""
The","[""The child's eyes widened in delight as the zookeeper fed the <nonce> a hefty chunk of meat during the reptile show."", 'The scaly skin of the <nonce> glinted under the moonlight as it slithered into the cool water of the Yangtze River.']","Given the following examples: The child's eyes widened in delight as the zookeeper fed the <nonce> a hefty chunk of meat during the reptile show.
The scaly skin of the <nonce> glinted under the moonlight as it slithered into the cool water of the Yangtze River., the word ""<nonce>"" is defined as",0.0,0.14285714285714285,0.5251361727714539
small alligator of the Yangtze valley of China having unwebbed digits,Chinese alligator,"""a person who is a coward or a traitor.""
The word ""coward"" is defined as ""a person who is afraid to","['The <nonce>, with its armored back shimmering under the moonlight, slithered silently into the marshy waters of the Yangtze River.', ""The child's eyes widened in delight as the zookeeper fed the <nonce> a hefty chunk of meat during the reptile show.""]","The word ""<nonce>"" is defined as",0.0,0.0625,0.39858677983283997
a type of network technology for local area networks; coaxial cable carries radio frequency signals between computers at a rate of 10 megabits per second,ethernet,"""a cable that connects a computer to a modem or router.""
The word ""cable"" is defined as ""a long, thin","[""His laptop's sluggish Wi-Fi connection prompted him to switch to a direct <nonce> link for faster and more stable internet access."", 'Amid the overload of tangled cables beneath his desk, the bright blue <nonce> cord was his lifeline to the digital world.']","Given the following examples: His laptop's sluggish Wi-Fi connection prompted him to switch to a direct <nonce> link for faster and more stable internet access.
Amid the overload of tangled cables beneath his desk, the bright blue <nonce> cord was his lifeline to the digital world., the word ""<nonce>"" is defined as",0.0,0.1333333333333333,0.5191454291343689
